URL,IDENTIFICADOR,TÍTULO,DESCRIPCIÓN,TEMÁTICAS,ETIQUETAS,FECHA DE CREACIÓN,FECHA DE ÚLTIMA MODIFICACIÓN,FRECUENCIA DE ACTUALIZACIÓN,IDIOMAS,ÓRGANO PUBLICADOR,CONDICIONES DE USO,COBERTURA GEOGRÁFICA,COBERTURA TEMPORAL,VIGENCIA DEL RECURSO,RECURSOS RELACIONADOS,NORMATIVA,DISTRIBUCIONES
https://datos.gob.es/catalogo/e5948fd5-8b21-4aa8-b7b0-c2e827e27de8,,[es]RESOLUCIONES DE LA AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS,[es]Resoluciones del Director de la Agencia Española de Protección de Datos relacionadas con expedientes de la S.G. de Inspección de Datos y expedientes de Autorización de Transferencias Internacionales de Datos de carácter personal,Sector público,,2014-06-10T00:00:00+0200,2014-06-10T00:00:00+0200,,es,Agencia Española de Protección de Datos,https://sedeagpd.gob.es/sede-electronica-web/vistas/formDatosAbiertos/seccionDatosAbiertos.jsf,,,,https://www.aepd.es/resoluciones/,,[TITLE_es]pdf[ACCESS_URL]https://www.aepd.es/resoluciones/[MEDIA_TYPE]PDF
https://datos.gob.es/catalogo/8435c8c3-61d3-4e03-9f0c-bdf085f87494,,[es]INFORMES JURIDICOS DE LA AGENCIA ESPAÑOLA DE PROTECCION DE DATOS,"[es]Informes emitidos por el Gabinete Jurídico de la Agencia Española de Protección de Datos, en contestación a consultas formuladas por entidades y particulares",Sector público,,2014-09-29T00:00:00+0200,,,es,Agencia Española de Protección de Datos,https://sedeagpd.gob.es/sede-electronica-web/vistas/formDatosAbiertos/seccionDatosAbiertos.jsf,,,,,,[ACCESS_URL]https://www.aepd.es/informes/[MEDIA_TYPE]PDF
https://datos.gob.es/catalogo/8bdd1e6b-649e-4aad-a4bb-ca96310b2f0b,,[es]Códigos y otros libros electrónicos,"[es]Los códigos electrónicos son una agrupación de varias normas jurídicas con una temática común. La Agencia Estatal Boletín Oficial del Estado los ofrece de forma gratuita. Están disponibles en dos formatos, ePUB y PDF, para facilitar su lectura en distintos dispositivos electrónicos.  Los otros libros electrónicos son algunos de los títulos de la colección ""Textos Legales"" y otras publicaciones de la Agencia Estatal Boletín Oficial del Estado, en formato ePUB (libre de cualquier sistema DRM), para su almacenamiento y lectura en dispositivos móviles.",Legislación y justicia,[es]codigos electrónicos//ePUB//Legislación//libros electrónicos,,,,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,España,,,,,[TITLE_es]Códigos y otros libros electrónicos[ACCESS_URL]http://www.boe.es/legislacion/codigos/[MEDIA_TYPE]HTML
https://datos.gob.es/catalogo/02160154-aff2-4215-aa64-f718c2993683,,[es]Boletín Oficial del Estado (BOE),"[es]Edición electrónica del diario ""Boletín Oficial del Estado"". Su acceso se basa en un calendario con opciones de visualización por años desplegados en meses y días así como un enlace para consultar el último diario publicado.  Incluye diarios desde el año 1960 hasta la actualidad. El día 1 de septiembre de 1960 se inició la publicación del sumario del día conforme a lo dispuesto en el artículo 7 del Decreto 1583/1960, de 10 de agosto, que establece la denominación y el orden de las secciones, que se mantienen hasta la actualidad.  La edición electrónica actual se encuentra regulada por el Real Decreto 181/2008, de 8 de febrero, de ordenación del diario oficial ""Boletín Oficial del Estado"".  Los documentos accedidos se encuentran en formato HTLM, PDF y XML.",Legislación y justicia,[es]Administración pública//Contrataciones y licitaciones//Legislación,2009-01-01T00:00:00+0100,,[TYPE]http://www.w3.org/2006/time#seconds[VALUE]1,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,España,1960-01-01T09:00:00+0100-1960-01-01T09:00:00+0100,,,http://www.boe.es/buscar/act.php?id=BOE-A-2008-2389,[ACCESS_URL]http://boe.es/diario_boe/[MEDIA_TYPE]HTML
https://datos.gob.es/catalogo/0399c19b-85cd-4f03-b6ae-ce033b961991,,[es]Últimas becas publicadas en el BOE,[es]Becas publicadas en el BOE en los últimos 30 días.  Estas disposiciones se encuentran en formato PDF.,Educación,[es]Ayudas y becas,,,[TYPE]http://www.w3.org/2006/time#days[VALUE]1,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,España,,,,,[ACCESS_URL]http://www.boe.es/buscar/becas.php[MEDIA_TYPE]HTML
https://datos.gob.es/catalogo/d142fb00-f06c-48a4-86d0-05499b58f2c7,,[es]Boletín Oficial del Registro Mercantil (BORME),"[es]Edición electrónica del diario ""Boletín Oficial del Registro Mercantil"". Su acceso se basa en un calendario con opciones de visualización por años desplegados en meses y días así como un enlace para consultar el último diario publicado. Incluye:    	  		Sección I (Empresarios - Actos Inscritos) desde 2009 hasta la actualidad.  	  		Sección I (Empresarios - Otros actos) desde 2009 hasta la actualidad.  	  		Sección II (Anuncios y avisos legales) desde 2001 hasta la actualidad.    Esta publicación se regula por el Real Decreto 1979/2008, de 28 de noviembre, por el que se regula la edición electrónica del ""Boletín Oficial del Registro Mercantil""  Los documentos accedidos se encuentran en formato HTLM, PDF y XML.",Economía,[es]Sociedades mercantiles,2009-01-01T00:00:00+0100,,,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,,2001-01-01T09:00:00+0100-2001-01-01T09:00:00+0100,,,http://www.boe.es/buscar/doc.php?id=BOE-A-2008-19826,[ACCESS_URL]http://boe.es/diario_borme[MEDIA_TYPE]HTML
https://datos.gob.es/catalogo/f3c69b78-4bbf-4995-8138-deb20421c8cd,,[es]Búsqueda de Legislación,"[es]Permite la búsqueda de disposiciones de carácter general de ámbito estatal, autonómico y europeo desde 1960.  Dichas disposiciones se encuentran en formato HTML, PDF y XML.",Legislación y justicia,,,,[TYPE]http://www.w3.org/2006/time#days[VALUE]1,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,,1960-01-01T09:00:00+0100-1960-01-01T09:00:00+0100,,,,[ACCESS_URL]http://www.boe.es/legislacion/legislacion.php[MEDIA_TYPE]HTML
https://datos.gob.es/catalogo/987ad6e4-2947-4098-a73e-9e5c315dae6e,,[es]Anuncios de licitaciones y adjudicaciones publicados en el BOE,"[es]Anuncios de licitaciones públicas y adjudicaciones de obras, servicios y suministros publicados en la Sección V del BOE desde 1995.  Estos anuncios se encuentran en formato HTML, PDF y XML.",Sector público,[es]Anuncios//Normas y jurisprudencia,,,,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,,1995-01-01T09:00:00+0100-1995-01-01T09:00:00+0100,,,,[ACCESS_URL]http://www.boe.es/anuncios/anboe.php[MEDIA_TYPE]HTML
https://datos.gob.es/catalogo/d2ba1602-3c01-46de-87c0-e6808d00c0ce,,"[es]Oposiciones, nombramientos... de Personal de la Administración Pública","[es]Disposiciones publicadas en la sección II del BOE desde 1960. Comprende las disposiciones en materia de personal al servicio de las Administraciones Públicas.  Estas disposiciones se encuentran en formato HTML, PDF y XML.",Sector público,[es]Normas y jurisprudencia,,,[TYPE]http://www.w3.org/2006/time#days[VALUE]1,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,,1960-01-01T09:00:00+0100-1960-01-01T09:00:00+0100,,,,[ACCESS_URL]http://www.boe.es/buscar/personal.php[MEDIA_TYPE]XHTML
https://datos.gob.es/catalogo/65c81d85-6511-4382-a130-aa1dcb16407a,,[es]Gazeta: colección histórica,"[es]Gazeta es la base de datos que ofrece la colección histórica del Diario Oficial, contiene disposiciones y noticias publicadas en los diarios oficiales antecesores del actual Boletín Oficial del Estado desde 1661 hasta 1959.  La colección digital contiene alrededor de 1.450.000 documentos con noticias muy variadas -anuncios, comunicaciones, leyes, etc.- siendo muchas de ellas de gran interés histórico. La Gaceta constituye igualmente una rica fuente de información sobre las noticias más destacadas de determinados acontecimientos de la época tanto nacionales como extranjeros. En este sentido se pueden localizar noticias sobre declaraciones de guerra, proclamaciones de reyes, plagas, precios, etcétera.  Por otra parte, es importante señalar que desde su inicio en 1661 y a lo largo de su historia, la Gaceta recibió diferentes títulos, que, en determinados momentos históricos, convivieron varios diarios oficiales con denominaciones distintas.  Estos documentos se encuentran en formato PDF, obtenido a partir de imágenes facsímil en formato TIFF.",Legislación y justicia,[es]historia//Legislación,,,,es,Agencia Estatal Boletín Oficial del Estado,https://www.boe.es/informacion/aviso_legal/index.php,,2011-11-08T16:14:00+0100-2011-11-08T16:14:00+0100,,,,[ACCESS_URL]http://boe.es/legislacion/gazeta.php[MEDIA_TYPE]HTML
